feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio,skewness,kurtosis
log-sigma-5-0-mm-3D_firstorder_Minimum,0.09436392853571271,0.8614119276404381,0.15519233725941042,0.31540983606557377,0.4845901639344262,-1.0290670227330017,4.549141432964846
lbp-2D_glrlm_ShortRunHighGrayLevelEmphasis,0.09416402300047524,0.6864398488216102,0.14437050654726108,0.18950819672131147,0.21049180327868852,0.7867636340435806,3.270250900596907
lbp-3D-k_firstorder_Median,0.08684100739461843,0.9857587502337992,0.18854842275908731,0.24327868852459017,0.15672131147540982,1.3064058996207109,6.082179427456852
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.08494273508512336,0.7039730145782233,0.18042682295001322,0.09704918032786886,0.10295081967213114,0.26504284521864213,3.5135899510319533
wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.08488429204154893,0.6613618466258049,0.1519333535977449,0.1980327868852459,0.2019672131147541,-0.2491074537484031,3.1376984220804713
wavelet-LHL_glcm_Correlation,0.0690252643267334,1.2714984376402572,0.17743558234234078,0.04786885245901639,0.1521311475409836,3.188431755588692,13.121331777662547
Age,0.06677808938193153,1.7756346354447305,0.201400700237504,0.25311475409836065,0.14688524590163934,-4.67218360233218,31.6539941530607
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.06353910299342007,0.4334400722384453,0.0884332495979159,0.44,0.3436065573770492,1.0193531695501339,1.9070888796140775
gradient_glcm_Imc2,0.05962907766635473,0.555860247015953,0.09541197641678707,0.18491803278688523,0.21508196721311476,1.3418594811737916,5.0335749393852485
log-sigma-5-0-mm-3D_firstorder_10Percentile,0.05931427831398781,1.0434052606113255,0.15712441277209782,0.14295081967213114,0.057049180327868855,-3.1213409681460242,12.649675728874687
wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,0.053472339155560135,0.6583175469189883,0.1172623943513053,0.12786885245901639,0.2721311475409836,0.6391069272916546,7.054624012272594
square_firstorder_Kurtosis,0.049849466898462536,1.1035458148270845,0.1264885327242524,0.25114754098360653,0.14885245901639343,-4.071224329144669,20.15968270649862
log-sigma-2-0-mm-3D_firstorder_InterquartileRange,0.047733502330150876,0.4219148697145283,0.0760931674510524,0.1481967213114754,0.2518032786885246,1.1878333694056453,4.346359685488312
wavelet-LLH_ngtdm_Contrast,0.04489923326979225,0.22631471341475845,0.05806373360347397,0.2039344262295082,0.1960655737704918,-0.01875164739196419,0.2199518008598158
gradient_glszm_LowGrayLevelZoneEmphasis,0.04487166943790423,0.29555443949997423,0.06065412308148288,0.2577049180327869,0.3422950819672131,-0.23495270943996588,1.5390473255964032
original_ngtdm_Strength,0.04486456455247872,0.47539736099541186,0.10085010996360401,0.09049180327868853,0.10950819672131147,0.5633234089946161,5.303847025977179
lbp-3D-k_glszm_ZoneVariance,0.04460364293733645,0.5121066204272211,0.09925953443564473,0.10229508196721311,0.09770491803278689,-0.9434840497465515,4.7475571947961015
original_glszm_SizeZoneNonUniformity,0.042456466056217196,0.6237204560451209,0.059745118838526214,0.3718032786885246,0.4281967213114754,-2.025199396053706,14.594267719104774
log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.04203929950057486,0.45485664159059525,0.09152405519300198,0.08262295081967214,0.11737704918032787,1.554391542096934,4.978513981823643
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.03884208795049337,0.38109816651791334,0.06994389233975544,0.3344262295081967,0.26557377049180325,-1.541646062342703,6.331563244343036
original_glszm_LargeAreaLowGrayLevelEmphasis,0.03720636925841455,0.24995536416769026,0.06215056357434315,0.24721311475409835,0.15278688524590164,-0.45706760223607584,2.6820810839552003
wavelet-LLL_firstorder_RootMeanSquared,0.03705887455952462,0.5601441500708461,0.09127777828155176,0.05311475409836065,0.14688524590163934,2.8446121388434866,10.934155700786137
wavelet-LHL_glrlm_GrayLevelNonUniformity,0.03627575978338719,0.5718692468851805,0.09065077212565753,0.14950819672131146,0.050491803278688525,-2.8346562369861243,10.77705506314449
y_center,0.036051317709000365,0.2877747266367078,0.06239700901687077,0.16327868852459015,0.23672131147540984,-0.05046708595307371,2.3893507745838134
wavelet-LHL_firstorder_Minimum,0.035753746699259355,0.3424460429418832,0.07102171482906476,0.11540983606557377,0.2845901639344262,-0.6892061789790499,3.962250909885631
wavelet-LHL_ngtdm_Busyness,0.035149022647538435,0.34629682801663875,0.07600134767293805,0.12065573770491804,0.27934426229508197,1.196880957916581,4.746696280449652
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.0343647320522881,1.917893272191286,0.15837531175136246,0.02754098360655738,0.17245901639344263,7.87726709997098,71.77069311180935
wavelet-LLH_glcm_ClusterShade,0.03414486061876,0.3103781349863857,0.06043730894600387,0.19344262295081968,0.20655737704918034,0.5633992066701473,3.974828690541046
wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,0.033737088329032,0.1990727437660098,0.04771578202836684,0.2,0.2,0.27947434172109203,1.46529599128157
wavelet-LLL_glrlm_ShortRunEmphasis,0.033569852838353786,0.3800332607328892,0.0773098045449169,0.08918032786885247,0.11081967213114755,1.1046679442224863,5.978194436266774
original_glszm_SmallAreaEmphasis,0.03306524602546675,0.2662933147326112,0.048324335883289715,0.17770491803278687,0.4222950819672131,-0.24522128235815935,2.7069322953838277
log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.03258655976584396,0.6128044685069471,0.0756959987010323,0.22819672131147542,0.1718032786885246,-3.1488296395033317,16.172297985575835
log-sigma-3-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.03240335694365208,0.3697007026337087,0.06598364488521817,0.3639344262295082,0.2360655737704918,-0.7235248980466811,6.412840998675186
log-sigma-2-0-mm-3D_glszm_ZonePercentage,0.031002307708691175,0.34580253705382347,0.04826780405391035,0.2157377049180328,0.3842622950819672,0.32543206574802763,7.777527213735089
log-sigma-1-0-mm-3D_glrlm_ShortRunEmphasis,0.029359990150861635,0.27346533570438625,0.05841572695468668,0.11409836065573771,0.28590163934426227,1.184780172274298,4.606220357012876
