scaler,abs,corr_threshold,xgb_threshold,pca,n_features,dataset,best_score,predict_score,control_score,score,random_forest_params,xgb_params,e1,e2,e3,e4,e5,e6
True,True,0.03,0.002,False,123,corr_xgb_train_df,0.4672161172161172,,,"{'RandomForest': 0.32526821005081874, 'XGBoost': 0.4672161172161172, 'VotingEnsemble': 0.36185081585081585, 'StackingEnsemble': 0.4585315222313796}","{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': False}","{'subsample': 0.6, 'reg_lambda': 2, 'reg_alpha': 0, 'n_estimators': 400, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 1.0}",,,,,,
True,True,0.03,0.002,False,123,corr_xgb_train_df,0.4672161172161172,,,"{'RandomForest': 0.32526821005081874, 'XGBoost': 0.4672161172161172, 'VotingEnsemble': 0.36185081585081585, 'StackingEnsemble': 0.4585315222313796}","{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': False}","{'subsample': 0.6, 'reg_lambda': 2, 'reg_alpha': 0, 'n_estimators': 400, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 1.0}",,,,,,
