feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio,skewness
square_firstorder_Kurtosis,0.33557435364693355,1.5442406366392971,0.32217877969238967,0.7909836065573771,0.20901639344262296,1.775285970050938
log-sigma-5-0-mm-3D_firstorder_10Percentile,0.37660080737484924,1.102620076201856,0.22599002331524853,0.7418032786885246,0.2581967213114754,1.2363521269248643
wavelet-LHH_glcm_Idmn,0.18542985418402072,0.7078478959575295,0.16268577816313345,0.22131147540983606,0.7786885245901639,1.8665837572708261
lbp-3D-k_glszm_ZonePercentage,0.3449299921980892,0.7536392668634653,0.15719174545996895,0.35655737704918034,0.6434426229508197,0.3723199660812969
log-sigma-5-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.1644400812135283,0.6462060164473951,0.14447883795752153,0.5983606557377049,0.4016393442622951,1.1456959076547544
wavelet-LHH_glszm_LargeAreaEmphasis,0.11535823846075563,0.5111611943691969,0.12491762368739132,0.8114754098360656,0.1885245901639344,1.8759497789259811
log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,0.28584508578447126,0.6061031194776296,0.1051479121110368,0.5163934426229508,0.48360655737704916,0.604337165614205
wavelet-HHL_glcm_SumEntropy,0.16752726648406743,0.38729606023058294,0.08392049618546515,0.38934426229508196,0.610655737704918,0.49738323981463867
log-sigma-5-0-mm-3D_firstorder_Minimum,0.15481507203461536,0.5365178077481687,0.07874979931108035,0.5040983606557377,0.4959016393442623,1.165850403370312
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,0.06794672689476955,0.5343792532756925,0.07789602572859464,0.7745901639344263,0.22540983606557377,2.936688385574636
wavelet-LHH_glszm_SizeZoneNonUniformity,0.12258163888992162,0.32439305691048503,0.07305725829524863,0.6721311475409836,0.32786885245901637,1.0049764448006178
wavelet-HHL_firstorder_Energy,0.07622258062033571,0.4220733901299536,0.06958329460366951,0.7540983606557377,0.2459016393442623,2.59728659523046
lbp-3D-k_glszm_LargeAreaEmphasis,0.08841510092770899,0.32242606092244386,0.06561820559359556,0.24180327868852458,0.7581967213114754,1.8384385188132302
log-sigma-5-0-mm-3D_glszm_GrayLevelVariance,0.029237142442992813,0.4300517036393285,0.06438191840599881,0.05327868852459016,0.9467213114754098,4.9374106666608215
wavelet-LHH_glcm_DifferenceEntropy,0.1351864911814995,0.3235714610852301,0.06253209501359953,0.5081967213114754,0.4918032786885246,0.5811296515551211
wavelet-LLH_glcm_ClusterShade,0.10507165396181942,0.33056152395904065,0.06028413766066006,0.44672131147540983,0.5532786885245902,0.7373787431552481
wavelet-LLH_firstorder_Entropy,0.050765594252381314,0.33047167807817457,0.060054483030429845,0.819672131147541,0.18032786885245902,2.5822338235095272
wavelet-HHL_firstorder_Median,0.0753229923148689,0.238161633471027,0.056607990626114116,0.6434426229508197,0.35655737704918034,1.1801349692183725
log-sigma-4-0-mm-3D_glcm_ClusterShade,0.049171994519744376,0.24563554242253305,0.0525161382502581,0.6680327868852459,0.3319672131147541,2.469200536148687
log-sigma-3-0-mm-3D_glszm_ZonePercentage,0.042155919397234495,0.2981834329664707,0.051528512869056,0.8811475409836066,0.11885245901639344,3.7329678559112476
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.06439012097599378,0.2653851937875152,0.047277183733568005,0.3401639344262295,0.6598360655737705,1.5985650728196743
log-sigma-4-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.06386318772540879,0.18782183341681957,0.0449776574630627,0.3114754098360656,0.6885245901639344,0.8080806184103352
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.07249992787984935,0.2313837379217148,0.04466536890274028,0.26639344262295084,0.7336065573770492,1.4908975120024652
logarithm_glrlm_GrayLevelNonUniformity,0.02542847402477795,0.2002890481054783,0.0438638719319877,0.8975409836065574,0.10245901639344263,3.3936233325057232
lbp-3D-m2_firstorder_MeanAbsoluteDeviation,0.045674384275726114,0.21488169629126788,0.042713162468183054,0.7336065573770492,0.26639344262295084,2.054010210595367
logarithm_glcm_Imc1,0.047636607666290014,0.18025545436888935,0.042485456674102376,0.5860655737704918,0.4139344262295082,1.5716509847440405
wavelet-HLH_firstorder_Minimum,0.03508623769844608,0.2093761958926916,0.04209270481245184,0.6885245901639344,0.3114754098360656,2.8790790744071417
wavelet-LLH_glcm_JointEnergy,0.04335732659055917,0.20786482438445092,0.042046118079722035,0.25,0.75,2.174802116232832
wavelet-LLH_glcm_Autocorrelation,0.07797083352513033,0.15340540710836648,0.04180545870336609,0.3319672131147541,0.6680327868852459,0.9238508796791827
wavelet-HLL_firstorder_Range,0.04618900390591885,0.22443874752148985,0.040045600770277225,0.5860655737704918,0.4139344262295082,2.5163428466850437
log-sigma-2-0-mm-3D_firstorder_Energy,0.0291448613468531,0.20301698066294194,0.038402912943653215,0.7991803278688525,0.20081967213114754,3.4438864987428754
log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.062433649955031575,0.16302765866275876,0.03696952302073699,0.4713114754098361,0.5286885245901639,0.272178456906982
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,0.04535892453792767,0.19014394223690034,0.0366009390449771,0.20901639344262296,0.7909836065573771,1.6484671900511447
wavelet-HLH_firstorder_Median,0.021531897568827115,0.1921929831802845,0.03617614582533569,0.8975409836065574,0.10245901639344263,3.951552502940251
wavelet-HHH_glszm_GrayLevelNonUniformity,0.02263315717258384,0.22979454144835473,0.03598736195689608,0.8483606557377049,0.15163934426229508,4.731555168373851
x_min,0.05376201644669963,0.17416084937751294,0.03496322517195449,0.6065573770491803,0.39344262295081966,0.5995157435593593
square_ngtdm_Complexity,0.03289561557133117,0.15673026600852608,0.0348928225873904,0.4180327868852459,0.5819672131147541,2.1851515703558637
wavelet-LLL_firstorder_Range,0.02515094838692944,0.21654279962182044,0.03354086933687212,0.8360655737704918,0.16393442622950818,3.9309562089906755
gradient_glcm_MCC,0.05828012504774246,0.16231711469590665,0.033482072146914725,0.6926229508196722,0.3073770491803279,1.034155395341943
wavelet-LHH_glcm_ClusterProminence,0.06052228955910773,0.1267188018001616,0.03303659541326243,0.2786885245901639,0.7213114754098361,1.013292419946726
wavelet-HHL_firstorder_Skewness,0.06610213324026827,0.12863639142364264,0.032835564883682965,0.4959016393442623,0.5040983606557377,-0.4630677517510494
log-sigma-4-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.06791367595303484,0.12901010416448117,0.032267931929414365,0.5860655737704918,0.4139344262295082,0.10976761088877823
log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.07681843526127036,0.1438551238924265,0.032260295486104415,0.38934426229508196,0.610655737704918,0.3328001215564504
log-sigma-3-0-mm-3D_firstorder_RootMeanSquared,0.030653686790548643,0.205305590108037,0.031778630857201,0.47950819672131145,0.5204918032786885,2.8387711619150555
log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,0.022252251597113717,0.17256467849016188,0.031063409794782528,0.2336065573770492,0.7663934426229508,3.3534242789764863
log-sigma-1-0-mm-3D_firstorder_Maximum,0.035977728937649514,0.20165646305773408,0.030846326627665524,0.319672131147541,0.680327868852459,2.7874832792919255
wavelet-LLH_firstorder_Maximum,0.026876854110913746,0.20376671184785664,0.030410934203334523,0.7909836065573771,0.20901639344262296,2.9746763576362487
squareroot_glszm_SizeZoneNonUniformityNormalized,0.028777128991090722,0.14901223635300995,0.03020029750756831,0.7622950819672131,0.23770491803278687,2.3068714658503993
wavelet-LHH_glszm_ZoneEntropy,0.03407581712084929,0.15172672379761934,0.029982789297231166,0.6639344262295082,0.3360655737704918,1.7419333190640114
log-sigma-1-0-mm-3D_glcm_Contrast,0.022659954974240806,0.12372277468442917,0.029178826510183033,0.5409836065573771,0.45901639344262296,2.288322053740062
original_shape_Flatness,0.04900513035033399,0.12052892378531396,0.028632076430855247,0.44672131147540983,0.5532786885245902,0.6149074155027376
wavelet-HHH_firstorder_Mean,0.016401050047067243,0.143103616386652,0.028551807050588754,0.8852459016393442,0.11475409836065574,3.6397948140863505
lbp-3D-m2_firstorder_10Percentile,0.036081291566236476,0.10709056220948696,0.028359323775775637,0.5286885245901639,0.4713114754098361,1.1094352114886974
square_firstorder_InterquartileRange,0.017333355914366227,0.15861253395676614,0.027277144308271155,0.8688524590163934,0.13114754098360656,4.023329194471099
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.022676948062831253,0.13374344348907471,0.027240209478398524,0.5327868852459017,0.4672131147540984,2.305514429993938
wavelet-LLH_glcm_Contrast,0.0476743505421079,0.12840459268540144,0.026841118784242623,0.3729508196721312,0.6270491803278688,1.052598732593173
wavelet-LLH_glcm_Idmn,0.016063471219052,0.182313180193305,0.026802166189960064,0.10245901639344263,0.8975409836065574,4.57651853008329
squareroot_gldm_SmallDependenceLowGrayLevelEmphasis,0.025384760183944442,0.14335004318505526,0.02678565150472831,0.7745901639344263,0.22540983606557377,2.2595480010913724
logarithm_glszm_LargeAreaEmphasis,0.024117917175191003,0.15417112343013287,0.026006651116797865,0.3483606557377049,0.6516393442622951,2.6992863535717215
wavelet-HHL_glszm_GrayLevelNonUniformityNormalized,0.05549001530062824,0.11356438698247075,0.024332235842566694,0.5040983606557377,0.4959016393442623,0.056632590180130324
lbp-3D-k_glszm_SizeZoneNonUniformityNormalized,0.04088943860121455,0.11055842567235231,0.02364199584351488,0.4959016393442623,0.5040983606557377,0.8147926714464951
wavelet-HLL_firstorder_Energy,0.01626279086355488,0.13258694857358932,0.023052489689412085,0.9098360655737705,0.09016393442622951,4.253862612922132
square_gldm_DependenceNonUniformityNormalized,0.014899941230723324,0.12868820801377295,0.02293423030469042,0.8073770491803278,0.19262295081967212,3.4474816295224406
wavelet-LLH_glszm_ZoneEntropy,0.03551437965975921,0.07955696776509286,0.022847361744573705,0.4262295081967213,0.5737704918032787,0.3569324948924003
original_shape_Elongation,0.041500190438008,0.08264316506683826,0.022538406295533175,0.3114754098360656,0.6885245901639344,0.8006940087213983
logarithm_gldm_SmallDependenceEmphasis,0.018435105526224398,0.11473550647497177,0.022471050470879755,0.3319672131147541,0.6680327868852459,2.820681947152735
log-sigma-3-0-mm-3D_firstorder_Energy,0.013193062611790667,0.14956510160118341,0.022458094335495976,0.21311475409836064,0.7868852459016393,4.418363305961336
wavelet-HHL_glszm_LowGrayLevelZoneEmphasis,0.01877127714348255,0.11008408270776272,0.02219268670963505,0.7704918032786885,0.22950819672131148,2.7651591972457443
lbp-3D-k_glszm_ZoneEntropy,0.023391745231633437,0.09888446103781462,0.02206754249148279,0.6516393442622951,0.3483606557377049,1.8334658109301847
logarithm_glszm_LowGrayLevelZoneEmphasis,0.03714954477051642,0.10325523175299167,0.021528282691915868,0.4098360655737705,0.5901639344262295,1.612698548583899
wavelet-LHH_firstorder_Skewness,0.012854458544876594,0.1542669051140547,0.021065829566936534,0.8073770491803278,0.19262295081967212,5.268863546662189
square_glrlm_RunLengthNonUniformity,0.012320550393511643,0.13461538091301917,0.02092854336468695,0.6721311475409836,0.32786885245901637,4.568398828308619
square_gldm_LargeDependenceLowGrayLevelEmphasis,0.0044918963312339435,0.18626974999904633,0.02086402695317347,0.01639344262295082,0.9836065573770492,8.306558233297187
squareroot_glcm_Idmn,0.010720016634565026,0.14645775116980075,0.020748796719105643,0.11475409836065574,0.8852459016393442,5.766693594306715
wavelet-HHL_glszm_SizeZoneNonUniformity,0.09180022047769634,0.14597132552415132,0.020618812265581488,0.4918032786885246,0.5081967213114754,0.236601398621106
log-sigma-2-0-mm-3D_firstorder_RootMeanSquared,0.011485918069584676,0.10567712265998125,0.020326670584657338,0.14344262295081966,0.8565573770491803,3.7053392739332973
wavelet-HLL_ngtdm_Busyness,0.007128224061176059,0.16503267034888267,0.019703017910184136,0.05327868852459016,0.9467213114754098,6.0347458626018815
squareroot_glszm_LargeAreaHighGrayLevelEmphasis,0.03790290990187863,0.09297213979065418,0.01909496952723497,0.680327868852459,0.319672131147541,1.1901588721036624
log-sigma-3-0-mm-3D_glcm_Autocorrelation,0.006612315545026517,0.13975305423140527,0.018770145180023227,0.05327868852459016,0.9467213114754098,6.1396950234880725
wavelet-LHL_glszm_SizeZoneNonUniformity,0.013338627369280475,0.14828583892434835,0.018259727375567344,0.42213114754098363,0.5778688524590164,4.921293309095215
wavelet-HHH_glcm_DifferenceEntropy,0.052066642159718235,0.1067500127851963,0.017399438715406723,0.5573770491803278,0.4426229508196721,0.516725022753015
log-sigma-2-0-mm-3D_glcm_Imc1,0.012169832181277089,0.11424285002052784,0.017352782064139177,0.8688524590163934,0.13114754098360656,3.695539308120955
wavelet-LHL_firstorder_Minimum,0.047673686354718754,0.12125246476382018,0.01709038287160793,0.5163934426229508,0.48360655737704916,1.8158956475558334
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.010663205508980516,0.09710080966353417,0.01664316538803772,0.13114754098360656,0.8688524590163934,4.07791824002597
log-sigma-5-0-mm-3D_glcm_Correlation,0.03389804553049691,0.06207453906536102,0.01614102115406609,0.3073770491803279,0.6926229508196722,0.9187274862912731
wavelet-HHL_firstorder_Entropy,0.021370971610246717,0.07259637292474508,0.016037117017780215,0.46311475409836067,0.5368852459016393,1.388157273523575
wavelet-HHH_firstorder_Entropy,0.011742919676509669,0.07086179159581661,0.015762600942119162,0.38524590163934425,0.6147540983606558,3.0083702198826465
log-sigma-2-0-mm-3D_glcm_Idn,0.009858579772245902,0.10473090194165707,0.015686186496549636,0.22131147540983606,0.7786885245901639,3.839877006413185
wavelet-LHH_glrlm_LongRunEmphasis,0.10079824471449281,0.12514831200242044,0.01560878988733748,0.5286885245901639,0.4713114754098361,0.3355341013001663
wavelet-LLH_firstorder_Uniformity,0.01407392190377129,0.0727862060815096,0.01530502452748848,0.6598360655737705,0.3401639344262295,2.1605663467524194
log-sigma-5-0-mm-3D_glszm_LargeAreaEmphasis,0.013723357037686902,0.09418976657092572,0.015188083814843031,0.27459016393442626,0.7254098360655737,2.5838196801189497
Age,0.0073677223817193325,0.08829418189823628,0.015084204904696755,0.8401639344262295,0.1598360655737705,4.556343515652139
wavelet-LLH_glcm_Imc1,0.007535217820254497,0.10180476732552052,0.014968219606436977,0.8401639344262295,0.1598360655737705,5.192335889458596
wavelet-LLH_gldm_LargeDependenceEmphasis,0.014035720226114448,0.06460823059082031,0.014917664656755864,0.8073770491803278,0.19262295081967212,2.4728034065052427
original_glszm_SmallAreaHighGrayLevelEmphasis,0.010886423760322774,0.1043579901009798,0.014776699403509636,0.16393442622950818,0.8360655737704918,4.195990795783226
squareroot_glcm_Correlation,0.06440062651548122,0.09313432367518544,0.014681944506799762,0.4139344262295082,0.5860655737704918,0.16934769233676503
wavelet-LHL_firstorder_Kurtosis,0.014270262288189181,0.11104173809289933,0.014608610452281578,0.4426229508196721,0.5573770491803278,4.06999628209539
wavelet-HLH_glcm_ClusterProminence,0.009251307946377905,0.09865550421178342,0.014587347330320202,0.8647540983606558,0.13524590163934427,4.623435974040614
log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.013323807785340917,0.07026804875582457,0.014563934703745698,0.12704918032786885,0.8729508196721312,2.994090119786496
gradient_glszm_ZonePercentage,0.030955922518337734,0.05630599517375231,0.014500232799839056,0.4672131147540984,0.5327868852459017,0.29402669686518534
wavelet-HHL_firstorder_Mean,0.008872157748383997,0.08697735667228698,0.014237155235810438,0.8647540983606558,0.13524590163934427,4.203095556107559
logarithm_glszm_LargeAreaLowGrayLevelEmphasis,0.014095437153944857,0.07220534201711416,0.014165641479941007,0.7622950819672131,0.23770491803278687,2.541076570950032
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.013434084322700502,0.060701440051198007,0.01397269241378286,0.5532786885245902,0.44672131147540983,2.313986146571973
square_firstorder_Energy,0.007564598888093923,0.07118297761306167,0.01391818279216877,0.07377049180327869,0.9262295081967213,3.9856071987993578
wavelet-LHL_gldm_DependenceEntropy,0.012754459980127131,0.06887344602495432,0.013838242866544826,0.7909836065573771,0.20901639344262296,2.810490866271355
logarithm_gldm_DependenceVariance,0.012881222607808367,0.07266063757240772,0.013668307309919329,0.8032786885245902,0.19672131147540983,2.554690477370493
log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.012927711591941343,0.047595330029726025,0.013273791043145067,0.21311475409836064,0.7868852459016393,1.9070018062039131
wavelet-LHH_firstorder_Kurtosis,0.008481390806159285,0.07860801160335541,0.013218864607829818,0.4016393442622951,0.5983606557377049,3.4699863320006514
log-sigma-5-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.017960502724086898,0.049677658341825005,0.013187444854220307,0.6475409836065574,0.3524590163934426,1.375756540391547
