feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.1951497509550976,0.4914482061378658,0.10511427064895208,0.26229508196721313,0.7377049180327869
exponential_glrlm_ShortRunLowGrayLevelEmphasis,0.1569333122175522,0.36660560516640545,0.06783101329324827,0.43278688524590164,0.5672131147540984
wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,0.23278742887084308,0.3675344213237986,0.06703535670947204,0.4852459016393443,0.5147540983606558
gradient_glcm_Imc2,0.16661551082980822,0.3970184061303735,0.06598840631531785,0.3836065573770492,0.6163934426229508
wavelet-HHH_glszm_LargeAreaEmphasis,0.11627879142239082,0.3028127828799188,0.06202442957507332,0.31475409836065577,0.6852459016393443
lbp-3D-k_glszm_LargeAreaEmphasis,0.22153360231954722,0.3648160520941019,0.059815472045712234,0.4557377049180328,0.5442622950819672
wavelet-HLH_gldm_DependenceEntropy,0.1445858357878953,0.3303138273768127,0.05846370402247019,0.380327868852459,0.6196721311475409
original_firstorder_Mean,0.11732066067534141,0.24991630608215928,0.05761283912402749,0.3016393442622951,0.6983606557377049
wavelet-LLH_glszm_SizeZoneNonUniformity,0.0988196345455334,0.22523599442094563,0.052903932275914764,0.28524590163934427,0.7147540983606557
wavelet-LHL_firstorder_Skewness,0.042860809245673516,0.19535621361806987,0.047215013922420696,0.2262295081967213,0.7737704918032787
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.056276691950674376,0.22556083109229802,0.047005969927008256,0.21311475409836064,0.7868852459016393
wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.06729789106315766,0.2112844913545996,0.046689978967309385,0.22950819672131148,0.7704918032786885
lbp-3D-k_firstorder_Mean,0.06371393956897452,0.2036291391402483,0.0465465031573545,0.22295081967213115,0.7770491803278688
log-sigma-3-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.2012141244662619,0.352718056673184,0.04582061555251719,0.5344262295081967,0.46557377049180326
