feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio,skewness
log-sigma-5-0-mm-3D_firstorder_Mean,0.007802895052305064,0.025120123233646156,0.007214300028741974,0.5204918032786885,0.47950819672131145,1.3086314574562745
wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.007820562443802836,0.022839224599301815,0.007157998218790925,0.5040983606557377,0.4959016393442623,1.4354191648854817
wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,0.008303009000660272,0.026539069060236217,0.007065414622574165,0.5040983606557377,0.4959016393442623,1.598204753773815
original_firstorder_Range,0.00731197325367723,0.04020505864173174,0.006989194158491095,0.2786885245901639,0.7213114754098361,3.1147655856634846
lbp-3D-m1_firstorder_Skewness,0.0021961457506738213,0.05639756552875042,0.006882114236946651,0.2336065573770492,0.5081967213114754,6.360411202125213
lbp-2D_firstorder_Kurtosis,0.0052591628926332845,0.033851088024675846,0.006641120876576822,0.36475409836065575,0.6352459016393442,2.954873319118062
original_glrlm_RunEntropy,0.003994761723108955,0.036532813012599946,0.006587234056073441,0.3483606557377049,0.6516393442622951,3.4423887745339288
wavelet-HLH_glszm_GrayLevelNonUniformity,0.032063755896858545,0.040677069872617724,0.006526786894323143,0.36475409836065575,0.6352459016393442,0.5619311186390565
log-sigma-5-0-mm-3D_firstorder_Range,0.035569546556130774,0.04331409171223641,0.006508615026304393,0.4139344262295082,0.5860655737704918,0.34947859798866976
wavelet-HHH_firstorder_Kurtosis,0.005341825457824186,0.027446217611432077,0.006484376345305394,0.569672131147541,0.430327868852459,2.614385210334207
wavelet-HLH_glszm_GrayLevelNonUniformityNormalized,0.006777529963673869,0.021859481744468213,0.006469287037524363,0.5327868852459017,0.4672131147540984,1.4578694658504114
wavelet-LLH_firstorder_10Percentile,0.004946365029337345,0.022406695894896984,0.006022870137000475,0.4672131147540984,0.5327868852459017,2.200349261614452
original_glszm_SmallAreaHighGrayLevelEmphasis,0.0014782440604748925,0.0438176879286766,0.005943574661004721,0.30327868852459017,0.32786885245901637,6.285683486655279
wavelet-LLH_gldm_LargeDependenceEmphasis,0.0016219121706290294,0.051052502654492855,0.005825420128608306,0.10245901639344263,0.8032786885245902,7.676478129501529
wavelet-HHH_glcm_DifferenceEntropy,0.003966503049109554,0.03204225860536099,0.0052770328029983285,0.36065573770491804,0.639344262295082,3.7730906587382536
wavelet-HLL_glcm_MCC,0.003693638371731174,0.017466266080737113,0.004553645232798989,0.47540983606557374,0.5245901639344263,2.366972863595624
log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.033981157566924554,0.03836075156927109,0.004101234498289151,0.5327868852459017,0.4672131147540984,0.13143041549071285
wavelet-HHL_firstorder_Skewness,0.017666812307033385,0.0205168692022562,0.0024978532470392636,0.4344262295081967,0.5655737704918032,0.264580298740882
log-sigma-4-0-mm-3D_glszm_ZonePercentage,0.0,0.0,0.0,0.0,0.0,
log-sigma-5-0-mm-3D_glszm_GrayLevelVariance,0.0,0.0,0.0,0.0,0.0,
log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.0,0.0,0.0,0.0,0.0,
log-sigma-4-0-mm-3D_firstorder_Kurtosis,0.0,0.0,0.0,0.0,0.0,
log-sigma-4-0-mm-3D_firstorder_Maximum,0.0,0.0,0.0,0.0,0.0,
log-sigma-4-0-mm-3D_firstorder_Mean,0.0,0.0,0.0,0.0,0.0,
log-sigma-3-0-mm-3D_glszm_LargeAreaEmphasis,0.0,0.0,0.0,0.0,0.0,
log-sigma-4-0-mm-3D_firstorder_Minimum,0.0,0.0,0.0,0.0,0.0,
log-sigma-4-0-mm-3D_firstorder_Range,0.0,0.0,0.0,0.0,0.0,
log-sigma-5-0-mm-3D_glrlm_RunLengthNonUniformity,0.0,0.0,0.0,0.0,0.0,
log-sigma-5-0-mm-3D_glszm_LargeAreaEmphasis,0.0,0.0,0.0,0.0,0.0,
log-sigma-3-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.0,0.0,0.0,0.0,0.0,
log-sigma-5-0-mm-3D_glrlm_GrayLevelVariance,0.0,0.0,0.0,0.0,0.0,
