feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio
log-sigma-5-0-mm-3D_glszm_LargeAreaEmphasis,0.3257661777528892,1.0,0.20418259821173076,0.7311475409836066,0.26885245901639343
wavelet-HLL_gldm_LargeDependenceEmphasis,0.23414404781903486,0.9178382629140907,0.1921637610367539,0.659016393442623,0.34098360655737703
log-sigma-5-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.3073273439279067,0.81372753819481,0.16193121169282146,0.39344262295081966,0.6065573770491803
wavelet-HHH_glszm_ZonePercentage,0.2841285473322303,0.7776869725833689,0.151639272041426,0.7081967213114754,0.29180327868852457
lbp-3D-k_firstorder_Median,0.3405377529647138,0.6921491752559131,0.11787959156497241,0.42950819672131146,0.5704918032786885
wavelet-LLH_glcm_JointEnergy,0.01360889337077543,0.6870633282956535,0.0443271917563931,0.019672131147540985,0.980327868852459
original_glszm_SmallAreaEmphasis,0.10375095099889192,0.5942029499107145,0.12521762368589062,0.26885245901639343,0.7311475409836066
lbp-3D-m2_firstorder_Kurtosis,0.17731435305484958,0.584410277687757,0.10283381930017027,0.6131147540983607,0.38688524590163936
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.17982998849006865,0.5548414192341361,0.10290786238122306,0.6327868852459017,0.36721311475409835
wavelet-HLL_glcm_DifferenceVariance,0.146563338408453,0.5486260124811435,0.11793086663854087,0.8163934426229508,0.18360655737704917
logarithm_firstorder_10Percentile,0.08525071268250935,0.529135336965096,0.10005910591253452,0.12786885245901639,0.8721311475409836
log-sigma-4-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.06542792829685924,0.37865197217527596,0.04356307970137093,0.5639344262295082,0.4360655737704918
wavelet-HLL_glcm_MCC,0.0602027607726534,0.34785354215502934,0.07331662101302998,0.7967213114754098,0.20327868852459016
log-sigma-1-0-mm-3D_glszm_GrayLevelVariance,0.016800949675581874,0.345682299201205,0.04606417157931805,0.08852459016393442,0.9114754098360656
lbp-3D-k_gldm_DependenceNonUniformityNormalized,0.052780355829452244,0.3361016004498334,0.059800409472417534,0.7967213114754098,0.20327868852459016
wavelet-HLL_glcm_ClusterShade,0.0799224367571983,0.33524804764726324,0.0662933317063444,0.39672131147540984,0.6032786885245902
log-sigma-3-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.036387223046515906,0.32742909965655725,0.0589046505890311,0.7081967213114754,0.29180327868852457
logarithm_ngtdm_Strength,0.10851722960294707,0.3148224690432514,0.0798586315918993,0.5344262295081967,0.46557377049180326
lbp-3D-k_firstorder_Minimum,0.0957820479303409,0.297073651847411,0.05296367427990684,0.2983606557377049,0.7016393442622951
wavelet-LLL_glszm_ZoneEntropy,0.013758624040066935,0.2819828296088154,0.03547951673598198,0.04918032786885246,0.9508196721311475
wavelet-HHL_firstorder_Skewness,0.010868522119278856,0.2811825809186376,0.03286250048700929,0.12131147540983607,0.8786885245901639
lbp-3D-k_gldm_SmallDependenceEmphasis,0.017822000833704034,0.2730402560491211,0.03409294978775673,0.8524590163934426,0.14754098360655737
log-sigma-5-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.0779690864702625,0.27091058267351176,0.06298798864341582,0.5147540983606558,0.4852459016393443
wavelet-LLH_glcm_ClusterShade,0.13968293656567587,0.27059016610656444,0.05627837505174052,0.6032786885245902,0.39672131147540984
wavelet-LHL_glszm_SmallAreaEmphasis,0.009568043041400843,0.24450981353352763,0.02536747186562828,0.09508196721311475,0.9049180327868852
lbp-3D-m1_firstorder_RobustMeanAbsoluteDeviation,0.05796663710369049,0.24227032922615022,0.05543463837103245,0.5606557377049181,0.43934426229508194
squareroot_glszm_GrayLevelNonUniformityNormalized,0.05999320131541331,0.24085331702883703,0.04720215183278918,0.2262295081967213,0.7737704918032787
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.07053438156791489,0.23836047053951914,0.04243857807674273,0.6754098360655738,0.32459016393442625
wavelet-HHL_firstorder_Entropy,0.014200531853509717,0.23437909167469517,0.02732164855770224,0.12459016393442623,0.8754098360655738
log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.08308882186544185,0.23097295820309907,0.05416875844654493,0.5573770491803278,0.4426229508196721
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.034252437153467534,0.22452594445127996,0.05774060378452476,0.8754098360655738,0.12459016393442623
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.05173183902992435,0.22181153166723533,0.0547724943119258,0.6557377049180327,0.3442622950819672
wavelet-LLH_ngtdm_Strength,0.09278908044771611,0.21622398904262005,0.03644429549986003,0.46885245901639344,0.5311475409836065
log-sigma-4-0-mm-3D_firstorder_Maximum,0.029971245870083787,0.21380637601392907,0.038879134856466865,0.8426229508196721,0.15737704918032788
lbp-3D-m1_firstorder_Variance,0.05972540992438749,0.21102163872141957,0.05618854286764916,0.7508196721311475,0.24918032786885247
log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.01969656903840093,0.21079905403470334,0.03764355457410217,0.8819672131147541,0.1180327868852459
lbp-3D-k_glszm_GrayLevelNonUniformityNormalized,0.05280527668466579,0.2060407036268649,0.04885297751582908,0.7540983606557377,0.2459016393442623
wavelet-LLL_glcm_Imc1,0.010170169623166097,0.20573693652389816,0.030715860098123278,0.9672131147540983,0.03278688524590164
wavelet-LLH_firstorder_Maximum,0.003421417610080798,0.20083808947592532,0.01607072062379699,0.9934426229508196,0.006557377049180328
wavelet-LLL_glszm_SmallAreaHighGrayLevelEmphasis,0.08445608059275547,0.19627287085535605,0.04731249791826579,0.6098360655737705,0.3901639344262295
log-sigma-1-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.02535932195426023,0.1934870715057796,0.0362760968486778,0.8295081967213115,0.17049180327868851
wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,0.03452443256617194,0.17572906618018355,0.03821339062611829,0.8131147540983606,0.18688524590163935
gradient_firstorder_Kurtosis,0.027971552161393482,0.17427061134994745,0.039894893020059725,0.5114754098360655,0.4885245901639344
gradient_glszm_GrayLevelNonUniformityNormalized,0.05979505770484425,0.17106754436385777,0.03888194195189584,0.3081967213114754,0.6918032786885245
wavelet-HLL_firstorder_10Percentile,0.02926775412697635,0.16464403225676938,0.03010086632609376,0.6950819672131148,0.30491803278688523
original_shape_Maximum2DDiameterSlice,0.009180202009439564,0.16178339886972318,0.023508135159424386,0.6786885245901639,0.32131147540983607
log-sigma-5-0-mm-3D_glcm_MCC,0.004037435752728582,0.1603147794319718,0.016068673332204946,0.02622950819672131,0.9737704918032787
log-sigma-2-0-mm-3D_glszm_ZonePercentage,0.04302733846565495,0.1556409359462288,0.040569258501461807,0.6,0.4
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.008133853405018208,0.15271434365651462,0.015258435892413427,0.8590163934426229,0.14098360655737704
log-sigma-2-0-mm-3D_firstorder_InterquartileRange,0.031744184827798436,0.15187343066474646,0.02832860293023304,0.6327868852459017,0.36721311475409835
original_firstorder_Maximum,0.010003442514986626,0.14839151930735323,0.024652673623362473,0.5606557377049181,0.43934426229508194
wavelet-HHL_firstorder_Uniformity,0.05262686012506136,0.14669957347786952,0.03694836147350818,0.34098360655737703,0.659016393442623
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.01912598969494297,0.13940347156712,0.028457961483481054,0.3639344262295082,0.6360655737704918
wavelet-LHL_glcm_InverseVariance,0.027655895250713193,0.1385553961939297,0.02181741872074706,0.29180327868852457,0.7081967213114754
gradient_glcm_Idmn,0.03831858405882019,0.13786199504640953,0.029763934838624773,0.7475409836065574,0.25245901639344265
lbp-2D_firstorder_RobustMeanAbsoluteDeviation,0.022531257825945977,0.1354441549027226,0.026876550344776963,0.7311475409836066,0.26885245901639343
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.03460080168326174,0.13385788253995526,0.033134843264775594,0.5016393442622951,0.49836065573770494
wavelet-LHL_firstorder_Kurtosis,0.018481939304772217,0.13340986947171948,0.0223065328433691,0.8,0.2
wavelet-LHL_firstorder_Median,0.004594144353755839,0.13299456117512917,0.01165102785921613,0.8786885245901639,0.12131147540983607
wavelet-HHH_glszm_ZoneEntropy,0.03440004726830499,0.12887389810559083,0.0226665709250148,0.5147540983606558,0.4852459016393443
log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.014692737868861263,0.12405875076823844,0.020847919631010098,0.9180327868852459,0.08196721311475409
wavelet-LHH_glcm_Idmn,0.021122174772471542,0.12295922906480643,0.026177017685758645,0.7770491803278688,0.22295081967213115
wavelet-LHH_firstorder_Minimum,0.032285427689938265,0.12172470420889867,0.02890098175545842,0.6983606557377049,0.3016393442622951
lbp-3D-k_glrlm_RunEntropy,0.012876475470874303,0.11780128398748492,0.02380549432786896,0.921311475409836,0.07868852459016394
wavelet-LLH_glcm_Imc2,0.029001225188286232,0.11758539733619063,0.029130949629353545,0.8229508196721311,0.17704918032786884
original_shape_Flatness,0.002567689754876348,0.11454228134740724,0.01054086451806251,0.1540983606557377,0.8459016393442623
square_glszm_GrayLevelVariance,0.05035158499470364,0.11199610089286159,0.02831550523897514,0.5573770491803278,0.4426229508196721
log-sigma-4-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.012316744297261184,0.11191997849685406,0.018997155418086314,0.8885245901639345,0.11147540983606558
original_glszm_SizeZoneNonUniformity,0.05998286847010232,0.1105721917709157,0.024129576189004843,0.32459016393442625,0.6754098360655738
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,0.01580883034982341,0.10966153233334884,0.018347695365138077,0.819672131147541,0.18032786885245902
diagnostics_Image-original_Mean,0.006213068466015494,0.10809497196762731,0.00792172262711021,0.6459016393442623,0.3540983606557377
original_glcm_Imc1,0.01628391321544147,0.10302440819125044,0.01944509901167147,0.8655737704918033,0.13442622950819672
lbp-3D-k_glszm_LargeAreaEmphasis,0.055526927949762904,0.10188507950024037,0.021846289974881142,0.29180327868852457,0.7081967213114754
log-sigma-2-0-mm-3D_gldm_SmallDependenceEmphasis,0.023669657008690757,0.10117611080643116,0.02435528165236589,0.8262295081967214,0.1737704918032787
log-sigma-1-0-mm-3D_glrlm_ShortRunEmphasis,0.050971430453366606,0.09845463160155996,0.025140960815650457,0.49836065573770494,0.5016393442622951
wavelet-LLH_glszm_ZoneEntropy,0.012677273473422446,0.09673704422021281,0.014172176505307447,0.7737704918032787,0.2262295081967213
