feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.38187583481200604,1.0,0.22632110539016986,0.26557377049180325,0.7344262295081967
wavelet-LHL_firstorder_Median,0.08069098611898953,0.7585669999125372,0.11432206340798563,0.09836065573770492,0.9016393442622951
lbp-3D-k_firstorder_Skewness,0.02515540562319726,0.6674567523013867,0.08468836986760683,0.03934426229508197,0.9606557377049181
diagnostics_Image-original_Mean,0.014560001905151823,0.66500725520378,0.05543981027036718,0.5049180327868853,0.49508196721311476
log-sigma-5-0-mm-3D_firstorder_Range,0.2481851104429203,0.6177852718708288,0.14127251323150383,0.42295081967213116,0.5770491803278689
wavelet-LHL_glszm_SmallAreaEmphasis,0.03932406022703471,0.5361401671051919,0.07982931921465607,0.8950819672131147,0.10491803278688525
lbp-3D-k_glszm_ZoneVariance,0.265389126391434,0.5298212443483604,0.09966911549906457,0.5639344262295082,0.4360655737704918
log-sigma-3-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.24294070059935455,0.5015958575707566,0.08501521729680779,0.5311475409836065,0.46885245901639344
wavelet-HLH_firstorder_Mean,0.03736861947906729,0.4779679694143193,0.06367612416865065,0.07868852459016394,0.921311475409836
wavelet-HHL_gldm_SmallDependenceEmphasis,0.2058413362112824,0.4629577524400665,0.09055370129832152,0.36721311475409835,0.6327868852459017
lbp-3D-k_glcm_Correlation,0.046024446463009905,0.45952322771038995,0.07355059907936173,0.8098360655737705,0.1901639344262295
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.0313564239748486,0.4445716295459686,0.052277518890950066,0.26229508196721313,0.7377049180327869
wavelet-LLH_glszm_SmallAreaEmphasis,0.11312459892039513,0.443053676720728,0.06850554596599516,0.2754098360655738,0.7245901639344262
log-sigma-4-0-mm-3D_ngtdm_Strength,0.030957752395773877,0.4314534973712286,0.0619430304451933,0.9475409836065574,0.05245901639344262
log-sigma-4-0-mm-3D_glrlm_LongRunEmphasis,0.20748468976169673,0.4293091672978625,0.07357838908131344,0.49836065573770494,0.5016393442622951
original_shape_Maximum2DDiameterColumn,0.03725742333436926,0.4259683380291341,0.05170742901525884,0.26557377049180325,0.7344262295081967
log-sigma-4-0-mm-3D_glrlm_RunVariance,0.12653155274229208,0.4184562792134902,0.07789062664255143,0.5573770491803278,0.4426229508196721
wavelet-LLL_glszm_SizeZoneNonUniformityNormalized,0.06997658442270828,0.41552421396335104,0.06106760276966238,0.7475409836065574,0.25245901639344265
squareroot_glszm_GrayLevelNonUniformityNormalized,0.044359443171659484,0.39965670592973107,0.0542204810458549,0.8098360655737705,0.1901639344262295
wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.19880129129166804,0.37627532981775563,0.08805283693063079,0.42295081967213116,0.5770491803278689
wavelet-LHL_firstorder_Minimum,0.01341128794481013,0.33587076111541764,0.03703553374862975,0.03278688524590164,0.9672131147540983
wavelet-LLH_firstorder_Kurtosis,0.11274528038362641,0.32328156673951236,0.05429384508473807,0.5934426229508196,0.4065573770491803
wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.028240000038785643,0.31424681928376824,0.04133471749600338,0.8360655737704918,0.16393442622950818
log-sigma-1-0-mm-3D_firstorder_Kurtosis,0.07008248048135707,0.28561831638447704,0.07161242021383238,0.4885245901639344,0.5114754098360655
square_glszm_GrayLevelNonUniformityNormalized,0.02593211310051018,0.28164306356896013,0.043407571016314504,0.8885245901639345,0.11147540983606558
Age,0.005588511460175737,0.2655898175592802,0.02645136151547975,0.013114754098360656,0.9868852459016394
original_firstorder_Kurtosis,0.002132916688600017,0.26180945880190937,0.015867754733812956,0.006557377049180328,0.580327868852459
wavelet-LHL_firstorder_Energy,0.01822384232088702,0.2503275493609809,0.04207234280572119,0.898360655737705,0.10163934426229508
log-sigma-5-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.03908826380381844,0.24967842299118154,0.05033482907059891,0.11475409836065574,0.8852459016393442
wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,0.09296187063260755,0.23296937431721634,0.06399881350681884,0.30491803278688523,0.6950819672131148
y_center,0.16712743825576984,0.2239110721619981,0.029629950592735384,0.46885245901639344,0.5311475409836065
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.09828485420729638,0.2225959278127294,0.05546627454538932,0.5311475409836065,0.46885245901639344
gradient_glcm_Imc2,0.08313702398512568,0.20395504612622406,0.04227485385540228,0.3639344262295082,0.6360655737704918
log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformity,0.017384054194194018,0.1955272781304139,0.03308695924576912,0.8327868852459016,0.16721311475409836
wavelet-LLH_glcm_SumSquares,0.008512937051393438,0.19503607708059456,0.01738231156575301,0.022950819672131147,0.9770491803278688
wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,0.09893470493326137,0.1864737428468767,0.04048594821817413,0.3344262295081967,0.6655737704918033
wavelet-LLL_glszm_SizeZoneNonUniformity,0.08656777826646297,0.18513919255792302,0.04244589897947165,0.38688524590163936,0.6131147540983607
wavelet-LLH_glcm_JointEnergy,0.004254261487183957,0.1826484169841962,0.021837517498359035,0.4786885245901639,0.036065573770491806
wavelet-LHL_glcm_InverseVariance,0.028574617629409563,0.18085201972679368,0.03466442676871195,0.6819672131147541,0.3180327868852459
log-sigma-4-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.02001669585194958,0.18019566803544607,0.03152953111121997,0.43278688524590164,0.5672131147540984
wavelet-HLH_glszm_SmallAreaHighGrayLevelEmphasis,0.05928342232788659,0.17331658438266836,0.035162549378024995,0.6098360655737705,0.3901639344262295
square_gldm_DependenceEntropy,0.02464671279417171,0.167619986216962,0.030729926229416855,0.35081967213114756,0.6491803278688525
original_glszm_SizeZoneNonUniformityNormalized,0.015937603330850973,0.16497504935837018,0.02596655401859453,0.39344262295081966,0.6065573770491803
wavelet-HLH_glcm_SumSquares,0.018009875498331496,0.16401519543318094,0.024253857796179213,0.7278688524590164,0.2721311475409836
wavelet-LHL_glszm_SmallAreaHighGrayLevelEmphasis,0.014821310049071529,0.159952522128464,0.01832835241751993,0.28524590163934427,0.7147540983606557
wavelet-LHH_glcm_Imc2,0.015655631058494997,0.1564844046698918,0.020630594228217558,0.17704918032786884,0.8229508196721311
wavelet-HLH_gldm_DependenceVariance,0.08689524024953006,0.1538660535569541,0.03395710036302626,0.4491803278688525,0.5508196721311476
log-sigma-1-0-mm-3D_glszm_GrayLevelVariance,0.00965383406700575,0.14872483718827276,0.01953338845943338,0.940983606557377,0.05901639344262295
log-sigma-4-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.012696003727589753,0.14870411867371097,0.02346069536279175,0.9344262295081968,0.06557377049180328
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.04108184873786969,0.14727850895451566,0.03516015836656295,0.6852459016393443,0.31475409836065577
original_shape_Maximum2DDiameterSlice,0.023961209714225943,0.1457808113365522,0.0217216077394858,0.32131147540983607,0.6786885245901639
lbp-3D-k_glszm_ZonePercentage,0.006663135176982603,0.14577259448356356,0.015884485542476495,0.05901639344262295,0.940983606557377
logarithm_gldm_SmallDependenceLowGrayLevelEmphasis,0.013106965345291292,0.14539026074209854,0.02393068451535912,0.8885245901639345,0.11147540983606558
squareroot_glcm_Idmn,0.029014604317528708,0.14460732144673336,0.03300572335010096,0.6983606557377049,0.3016393442622951
original_glcm_Imc1,0.007252117918309885,0.13901818456740594,0.017511432853623016,0.4131147540983607,0.5868852459016394
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.030255963431412437,0.1318150798962579,0.01940268294462219,0.521311475409836,0.4786885245901639
gradient_glszm_SizeZoneNonUniformity,0.03592118944054458,0.12931588884604692,0.028697240845579577,0.4491803278688525,0.5508196721311476
log-sigma-5-0-mm-3D_glcm_Correlation,0.06426403820882638,0.12761180727100008,0.035671950545680266,0.2983606557377049,0.7016393442622951
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformity,0.02252291009454502,0.12209792944272066,0.02370231556993948,0.7770491803278688,0.22295081967213115
wavelet-HLL_firstorder_Kurtosis,0.0081887176264513,0.1181356061130897,0.01641486872218764,0.9377049180327869,0.06229508196721312
squareroot_glcm_InverseVariance,0.015155777775264405,0.11772803922062314,0.022697598636225464,0.7573770491803279,0.24262295081967214
original_shape_Flatness,0.0158350682580482,0.11674442933521641,0.016266566371652472,0.4360655737704918,0.5639344262295082
log-sigma-4-0-mm-3D_glrlm_RunPercentage,0.03769529753167852,0.11466853720952781,0.022962196249340698,0.5540983606557377,0.4459016393442623
wavelet-LLH_firstorder_Skewness,0.01677578960658687,0.11419483452081787,0.017263682005149182,0.7508196721311475,0.24918032786885247
wavelet-HHH_glrlm_GrayLevelNonUniformityNormalized,0.023275816677567996,0.11189167923578522,0.025803351621223432,0.12459016393442623,0.8754098360655738
wavelet-HHL_glcm_JointEntropy,0.015251669777946548,0.11101607804089804,0.018427661120292857,0.4262295081967213,0.5737704918032787
squareroot_gldm_SmallDependenceLowGrayLevelEmphasis,0.017034908073432383,0.10770088997734587,0.019765062021143046,0.7180327868852459,0.2819672131147541
wavelet-LLL_glcm_Imc1,0.04808285577661133,0.10294196714593083,0.02812861787082105,0.3081967213114754,0.6918032786885245
wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,0.023246808448705258,0.09851947614772394,0.020644936221902107,0.7081967213114754,0.29180327868852457
wavelet-HHL_glcm_ClusterShade,0.01707392906264614,0.09829430423375138,0.016770078293410352,0.2786885245901639,0.7213114754098361
wavelet-LHL_glszm_ZoneEntropy,0.0023967416840043314,0.09424446971572345,0.01110695162145882,0.9311475409836065,0.036065573770491806
squareroot_glszm_GrayLevelVariance,0.025430380450174365,0.09374911632831015,0.021934742725309164,0.7081967213114754,0.29180327868852457
original_shape_MinorAxisLength,0.0021281273801462947,0.09372087332132321,0.005804320672161984,0.07540983606557378,0.9245901639344263
logarithm_glrlm_ShortRunHighGrayLevelEmphasis,0.019762842481921086,0.0914940679858536,0.023978397330760945,0.7770491803278688,0.22295081967213115
gradient_glszm_ZoneEntropy,0.021749583126769736,0.09055627926834499,0.022293002217571516,0.36065573770491804,0.639344262295082
wavelet-LHL_glcm_MaximumProbability,0.01758550291294252,0.09013669519334218,0.018016226322688154,0.5016393442622951,0.49836065573770494
lbp-3D-k_glszm_LargeAreaEmphasis,0.01978425495349892,0.09010267159715538,0.01754216762795437,0.4885245901639344,0.5114754098360655
wavelet-HLL_gldm_LargeDependenceEmphasis,0.015616258139115801,0.08592856663857047,0.01885712450358753,0.26229508196721313,0.7377049180327869
log-sigma-1-0-mm-3D_glrlm_ShortRunEmphasis,0.022532654014380475,0.08008487337100115,0.017754150663417834,0.29508196721311475,0.7049180327868853
wavelet-LHL_firstorder_Uniformity,0.02861708813156475,0.07836960331785361,0.02346102072478931,0.47540983606557374,0.5245901639344263
original_gldm_SmallDependenceEmphasis,0.011889164582334728,0.06987480472418639,0.016825296940640853,0.7508196721311475,0.24918032786885247
wavelet-LHL_glszm_GrayLevelNonUniformity,0.027882999036802577,0.0683811011628373,0.015897142160605476,0.5147540983606558,0.4852459016393443
lbp-3D-k_glszm_LargeAreaHighGrayLevelEmphasis,0.04258900980414302,0.06517693510372001,0.01641912671500372,0.4524590163934426,0.5475409836065573
wavelet-HHL_glszm_SizeZoneNonUniformity,0.009788489885706226,0.06457790021476097,0.012491035810844554,0.7475409836065574,0.25245901639344265
wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.05749817633509104,0.06324261815406367,0.004563184572487686,0.38688524590163936,0.6131147540983607
log-sigma-1-0-mm-3D_glcm_MaximumProbability,0.0031533776580303743,0.061578953066973106,0.007851108591560385,0.9377049180327869,0.06229508196721312
log-sigma-2-0-mm-3D_glszm_ZoneEntropy,0.02419822705566474,0.05585764093769752,0.01336383846140759,0.47540983606557374,0.5245901639344263
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.03409730656051744,0.0549169752962514,0.013330507754289227,0.39344262295081966,0.6065573770491803
wavelet-HHL_firstorder_Skewness,0.021287894911831345,0.05238533339015762,0.011620826018795806,0.40327868852459015,0.5967213114754099
