iter	MultiClass
0	1.584817692
1	1.558211346
2	1.529369432
3	1.506635705
4	1.481938265
5	1.458952456
6	1.435630954
7	1.414604343
8	1.39463339
9	1.376569787
10	1.356218922
11	1.337248822
12	1.313907545
13	1.294616076
14	1.275290587
15	1.255963228
16	1.240325694
17	1.224941332
18	1.208527546
19	1.193351823
20	1.175275374
21	1.160163568
22	1.143569868
23	1.129357552
24	1.11535629
25	1.10324665
26	1.08887653
27	1.07516316
28	1.059832515
29	1.04548754
30	1.032718736
31	1.019228955
32	1.006944462
33	0.9937048153
34	0.9826023335
35	0.9707348103
36	0.9593396868
37	0.9480829044
38	0.9363520097
39	0.9256559099
40	0.9155974096
41	0.9058479776
42	0.8956375122
43	0.8851738755
44	0.8755959491
45	0.8664556231
46	0.8570467112
47	0.8483552738
48	0.8387423146
49	0.8301277939
50	0.8207316496
51	0.8105657149
52	0.802250142
53	0.7931563708
54	0.7834717108
55	0.775218263
56	0.7656455527
57	0.757684513
58	0.7506536367
59	0.7430568617
60	0.7357579445
61	0.727691339
62	0.7201690674
63	0.7133132
64	0.7071815024
65	0.7005713327
66	0.6934183082
67	0.6870941629
68	0.6801950104
69	0.6726466588
70	0.6658797751
71	0.6604872723
72	0.6548753077
73	0.6486034783
74	0.6421570291
75	0.6359405518
76	0.6296457174
77	0.6243873908
78	0.6183771406
79	0.6126744796
80	0.6069482297
81	0.6012806795
82	0.5964199767
83	0.590763637
84	0.5858530317
85	0.580516893
86	0.5753243894
87	0.5698410735
88	0.5644179364
89	0.5599185788
90	0.5550819708
91	0.5493220894
92	0.5444964584
93	0.5399746019
94	0.5353353461
95	0.5312922731
96	0.5273077439
97	0.522173356
98	0.5179515761
99	0.5138042606
100	0.5091292712
101	0.5050916088
102	0.5012438638
103	0.496943649
104	0.4931170405
105	0.4889300989
106	0.4846298062
107	0.480974392
108	0.4772592661
109	0.4736859847
110	0.4695178441
111	0.4656995657
112	0.4616046828
113	0.4581398477
114	0.4541836174
115	0.4505160974
116	0.4465014399
117	0.4434125472
118	0.4401354109
119	0.4367752854
120	0.4334259812
121	0.4303098017
122	0.4270074805
123	0.4233873718
124	0.4205115961
125	0.4176369492
126	0.4140743333
127	0.4107347216
128	0.4084082623
129	0.4054364574
130	0.4020767601
131	0.3997538041
132	0.3972256719
133	0.3948266166
134	0.3925896859
135	0.3890336874
136	0.3860089828
137	0.3831983683
138	0.3808078766
139	0.3781464246
140	0.3760806492
141	0.3733040557
142	0.3710060509
143	0.368255226
144	0.3656832637
145	0.3636831945
146	0.3612630805
147	0.3592367367
148	0.3572956786
149	0.3547432569
150	0.3523551007
151	0.3498757421
152	0.3480188019
153	0.3454684433
154	0.3434553341
155	0.3411209729
156	0.3390479574
157	0.3367176445
158	0.3345582923
159	0.3325378652
160	0.330585363
161	0.3287050675
162	0.3264747153
163	0.3240477309
164	0.3218447238
165	0.3200449652
166	0.3187698053
167	0.3167174982
168	0.314920406
169	0.313281468
170	0.3111314384
171	0.3094046067
172	0.3075904068
173	0.3055229187
174	0.3036028804
175	0.3016127762
176	0.2997074906
177	0.2982382482
178	0.296603884
179	0.2950698697
180	0.2933508036
181	0.2926716318
182	0.290760449
183	0.2891726591
184	0.2878891497
185	0.28652197
186	0.2847313394
187	0.2832912134
188	0.2815714661
189	0.2801114686
190	0.2784714601
191	0.277003697
192	0.2753431359
193	0.2742421286
194	0.2729152757
195	0.2716133351
196	0.2700564715
197	0.2685859836
198	0.2672046739
199	0.2659607712
200	0.2642675517
201	0.2628064058
202	0.2611453193
203	0.259810798
204	0.2587407171
205	0.2573125995
206	0.2560749054
207	0.2551587552
208	0.2537743315
209	0.2525830172
210	0.2514742248
211	0.2507625891
212	0.2493933074
213	0.2480493662
214	0.247035338
215	0.2456053909
216	0.2449556467
217	0.2439293764
218	0.242961144
219	0.2418643796
220	0.2408757307
221	0.2398152643
222	0.238741972
223	0.2374652551
224	0.2362194256
225	0.2348461151
226	0.2339484546
227	0.2326022168
228	0.2314644249
229	0.2303166292
230	0.2294503231
231	0.2283836676
232	0.2272187447
233	0.2261411511
234	0.2248134224
235	0.2236181181
236	0.2226118944
237	0.2218187877
238	0.2208967598
239	0.219990594
240	0.2189701625
241	0.2177930754
242	0.2170172711
243	0.2162866009
244	0.2156240502
245	0.2146573164
246	0.2138357941
247	0.2126465233
248	0.2117444642
249	0.2107243246
250	0.2094347818
251	0.2085233221
252	0.207514432
253	0.206567375
254	0.2058989856
255	0.2049681021
256	0.2041579461
257	0.2034007092
258	0.2028308012
259	0.2020470366
260	0.2010677104
261	0.200109404
262	0.1990250957
263	0.1982084391
264	0.1974269322
265	0.1965550403
266	0.1953841034
267	0.1950417733
268	0.1941394417
269	0.1930815249
270	0.1922787063
271	0.191519095
272	0.190828265
273	0.1899505148
274	0.1892064737
275	0.1883423474
276	0.1875704357
277	0.1866782831
278	0.1859563127
279	0.185377121
280	0.1846261706
281	0.1838611097
282	0.1829490078
283	0.1822313776
284	0.1815051254
285	0.1805521323
286	0.1799966851
287	0.179309047
288	0.1785567147
289	0.177941731
290	0.1767787155
291	0.1761651331
292	0.1754011037
293	0.1746990048
294	0.1740810628
295	0.1733712177
296	0.1728519128
297	0.1721316357
298	0.1715152118
299	0.1711385104
300	0.1704159172
301	0.1696258467
302	0.1688873135
303	0.168323945
304	0.1675881756
305	0.1669895406
306	0.1664666546
307	0.1658284907
308	0.1652165822
309	0.1648001379
310	0.1642044612
311	0.1636076557
312	0.1630843416
313	0.1625027073
314	0.1617560873
315	0.1612608968
316	0.1605561899
317	0.1598107474
318	0.159144567
319	0.1583447748
320	0.1576389585
321	0.1570208024
322	0.1565489672
323	0.1561239009
324	0.1555500614
325	0.1550444194
326	0.1543499304
327	0.1539114349
328	0.1534444264
329	0.1529903606
330	0.1525070911
331	0.1519964374
332	0.1513617379
333	0.1508784391
334	0.1502966589
335	0.1497427103
336	0.1490611446
337	0.1484064667
338	0.1477609167
339	0.1471259351
340	0.1466070389
341	0.1461591526
342	0.1457016809
343	0.1450936162
344	0.1444500125
345	0.143883491
346	0.143294928
347	0.1428826196
348	0.1422363106
349	0.1418617696
350	0.1413268556
351	0.1408011378
352	0.1403358421
353	0.1399098805
354	0.1394221831
355	0.1387941399
356	0.1385528993
357	0.138029118
358	0.1374391536
359	0.1370588225
360	0.1366212514
361	0.1361800603
362	0.1356473261
363	0.1351287608
364	0.1345425236
365	0.1339608309
366	0.1336275412
367	0.1331775334
368	0.1327360309
369	0.1323815949
370	0.1319226245
371	0.1312842661
372	0.130733996
373	0.1303073533
374	0.1298472735
375	0.1294359382
376	0.1290304904
377	0.1287219573
378	0.1282321385
379	0.1278536952
380	0.1273419224
381	0.1268709144
382	0.1264493611
383	0.1259929307
384	0.1255456769
385	0.1250526273
386	0.124662409
387	0.1242248379
388	0.1237577711
389	0.1232728277
390	0.1229432164
391	0.1225407464
392	0.1222634997
393	0.1219351632
394	0.1214000352
395	0.1210274599
396	0.1206933138
397	0.1204293699
398	0.1200910101
399	0.1197870605
400	0.1193648942
401	0.1189049701
402	0.1186080076
403	0.1182857436
404	0.117917742
405	0.1175280299
406	0.1171608555
407	0.1168569253
408	0.1164927191
409	0.1160528903
410	0.1157033103
411	0.115317948
412	0.1149838895
413	0.114687725
414	0.1142279567
415	0.1139918736
416	0.1136965265
417	0.11322836
418	0.1127314665
419	0.1124050277
420	0.1121490245
421	0.1118270329
422	0.1114220619
423	0.1110791771
424	0.110755502
425	0.1104923365
426	0.1101601659
427	0.1097717674
428	0.1093635559
429	0.1091217897
430	0.1088435699
431	0.1085101926
432	0.1080739741
433	0.107736101
434	0.1074968844
435	0.1071820843
436	0.1069489401
437	0.106691088
438	0.1063421989
439	0.1061220753
440	0.105806448
441	0.1055550478
442	0.1054004358
443	0.1050612294
444	0.1047781146
445	0.1044852198
446	0.1041028062
447	0.1037386291
448	0.1035465221
449	0.1031484799
450	0.1028559159
451	0.1024570076
452	0.1022055684
453	0.1018912257
454	0.1016287317
455	0.1013766697
456	0.1010402173
457	0.1007039012
458	0.1003690836
459	0.09997392187
460	0.09965655268
461	0.09932619212
462	0.09907068525
463	0.09876920739
464	0.09842300415
465	0.09808027501
466	0.09775255164
467	0.09743712873
468	0.09716736541
469	0.09691693831
470	0.09669430402
471	0.09631273698
472	0.09607850289
473	0.09583578304
474	0.09561883187
475	0.09534017407
476	0.09505611536
477	0.09479084793
478	0.09452043261
479	0.09426584049
480	0.09403528486
481	0.09376803223
482	0.09356857806
483	0.09328238818
484	0.09289576083
485	0.09267555937
486	0.09245444317
487	0.09219484913
488	0.09204399342
489	0.09169002455
490	0.09140617993
491	0.09115783536
492	0.09087365987
493	0.09054086646
494	0.09024263888
495	0.09008088404
496	0.08987129951
497	0.08967469663
498	0.08948564529
499	0.0892013433
500	0.08892617907
501	0.08858015099
502	0.08832099486
503	0.08813659512
504	0.08787879165
505	0.08761022529
506	0.0873063827
507	0.0870274427
508	0.08679808403
509	0.08661872513
510	0.08627600573
511	0.08601996363
512	0.0857515919
513	0.08548431007
514	0.08519667022
515	0.08493688155
516	0.08471108456
517	0.08447938063
518	0.08435678482
519	0.08409059291
520	0.0839015805
521	0.08363965093
522	0.0834561854
523	0.0833037824
524	0.08314199837
525	0.0829121142
526	0.08272164209
527	0.08251026699
528	0.08233052857
529	0.08215444915
530	0.08194583776
531	0.08174133301
532	0.0814974162
533	0.08137196911
534	0.08110498895
535	0.08094666929
536	0.08072805891
537	0.08052290702
538	0.08031854824
539	0.0801908386
540	0.08002419374
541	0.0797702147
542	0.07960407101
543	0.07945329316
544	0.07921359004
545	0.0789800712
546	0.07874710706
547	0.07861572382
548	0.07846961216
549	0.07830461191
550	0.07815689457
551	0.07797648955
552	0.07782060759
553	0.07767528417
554	0.07753665593
555	0.07741054224
556	0.07724960483
557	0.07704787352
558	0.07684380181
559	0.07665965022
560	0.07653067063
561	0.07638253971
562	0.07614761956
563	0.07592583189
564	0.07572436333
565	0.07560155343
566	0.07540567554
567	0.07522606363
568	0.0750480428
569	0.07491976388
570	0.07467108357
